timestamp,kitchen_temp [deg C],heating_temp [deg C],balcony_temp [deg C]
1470036782,29.875,28.187,28.062
1470040382,29.562,28.125,28.562
1470043982,30.125,28.187,37.562
1470047583,30.25,28.187,41.812
1470051182,30.312,28.125,43.5
1470054782,30.375,28.125,37.312
1470058382,30.187,28.125,39.812
1470061982,30.375,28.125,38.437
1470065582,30.437,28.125,37.375
1470069182,30.437,28.125,35.562
1470072782,30.312,28.125,34.687
1470076382,30.312,28.187,33.625
1470079982,30.312,28.187,31.437
1470083582,30.437,28.187,30.937
1470087182,30.187,28.25,30.375
1470090782,30.125,28.25,29.5
1470094382,30.187,28.312,29.25
1470097982,30.375,28.25,29.062
1470101582,30.562,28.312,29.062
1470105182,30.187,28.312,28.875
1470108782,30.375,28.25,28.875
1470112382,30.062,28.25,28.687
1470115983,30.25,28.25,28.625
1470119582,29.937,28.187,27.687
1470123183,30.062,28.125,27.687
1470126783,29.625,28.0,27.5
1470130382,29.937,28.062,37.562
1470133982,30.312,28.062,42.312
1470137582,30.5,28.125,42.0
1470141182,30.5,28.125,41.687
1470144783,30.625,28.125,40.187
1470148382,30.562,28.187,38.0
1470151982,30.562,28.312,36.875
1470155583,30.562,28.5,36.125
1470159182,30.562,28.812,35.312
1470162782,30.687,28.875,34.5
1470166382,30.625,29.187,33.75
1470169982,31.062,29.25,32.875
1470173582,None,29.0,31.937
1470177182,None,28.937,31.375
